typ_inond2;datentree;datsortie;id;scenario;emploi_max;hab_perm;est_ref;emploi_min;typ_inond;id_tri
;2019-04-18;;243-69283;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;233-69236;02Moy;20;65;f;18;01;FRD_TRI_LYON
;2019-04-18;;234-69159;02Moy;46;133;f;42;01;FRD_TRI_LYON
;2019-04-18;;187-69122;02Moy;28;67;f;21;01;FRD_TRI_LYON
;2019-04-18;;211-69010;02Moy;575;703;f;388;01;FRD_TRI_LYON
;2019-04-18;;132-69149;01For;2268;4484;f;1518;01;FRD_TRI_LYON
;2019-04-18;;316-69101;04Fai;28;149;f;26;01;FRD_TRI_LYON
;2019-04-18;;46-69290;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;134-69159;01For;19;69;f;16;01;FRD_TRI_LYON
;2019-04-18;;212-69278;02Moy;3645;36;f;2244;01;FRD_TRI_LYON
;2019-04-18;;227-69163;02Moy;128;364;f;99;01;FRD_TRI_LYON
;2019-04-18;;26-69081;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;195-69156;02Moy;16;0;f;13;01;FRD_TRI_LYON
;2019-04-18;;221-69088;02Moy;211;363;f;171;01;FRD_TRI_LYON
;2019-04-18;;131-69143;01For;573;274;f;356;01;FRD_TRI_LYON
;2019-04-18;;89-69168;01For;160;27;f;101;01;FRD_TRI_LYON
;2019-04-18;;272-69043;04Fai;21;0;f;12;01;FRD_TRI_LYON
;2019-04-18;;62-69276;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;6-69250;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;52-69255;01For;23;12;f;17;01;FRD_TRI_LYON
;2019-04-18;;58-69133;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;136-69176;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;132-69126;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;237-69204;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;48-69291;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;50-69294;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;144-69284;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;183-69020;02Moy;1;3;f;1;01;FRD_TRI_LYON
;2019-04-18;;111-69010;01For;424;635;f;297;01;FRD_TRI_LYON
;2019-04-18;;214-69272;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;252-69255;04Fai;33;28;f;24;01;FRD_TRI_LYON
;2019-04-18;;133-69190;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;155-69094;02Moy;;12;f;0;01;FRD_TRI_LYON
;2019-04-18;;315-69013;04Fai;847;146;f;445;01;FRD_TRI_LYON
;2019-04-18;;319-69096;04Fai;674;2141;f;408;01;FRD_TRI_LYON
;2019-04-18;;36-69176;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;73-69083;01For;;6;f;0;01;FRD_TRI_LYON
;2019-04-18;;57-69028;01For;;5;f;0;01;FRD_TRI_LYON
;2019-04-18;;112-69153;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;287-69122;04Fai;48;76;f;36;01;FRD_TRI_LYON
